Time,Latency
83708928.0,4465.05376344086
1126708992.0,4465.05376344086
2167709184.0,4465.05376344086
3234708992.0,4465.05376344086
4281709056.0,4465.05376344086
5322708992.0,4465.05376344086
6363708928.0,4465.05376344086
7404709120.0,4573.198198198199
8444709120.0,4573.198198198199
9507708928.0,4573.198198198199
10547708928.0,4573.198198198199
11587708928.0,4573.198198198199
12628709120.0,4573.198198198199
13668709120.0,4573.198198198199
14709708800.0,4573.198198198199
15786708992.0,4573.198198198199
16845709056.0,4488.031914893617
17885709056.0,4488.031914893617
18964709120.0,4488.031914893617
20003709184.0,4488.031914893617
21043708928.0,4488.031914893617
22083708928.0,4488.031914893617
23124708864.0,4488.031914893617
24165709056.0,4488.031914893617
25205709056.0,4488.031914893617
26245709056.0,4488.031914893617
27286708992.0,4492.021276595745
28330708992.0,4492.021276595745
29371709184.0,4492.021276595745
30413708800.0,4492.021276595745
31455708928.0,4492.021276595745
32497709056.0,4492.021276595745
33538708992.0,4492.021276595745
34579708928.0,4492.021276595745
35620708864.0,4492.021276595745
36661709056.0,4492.021276595745
37701709056.0,9450.0
38757709056.0,9450.0
39798708992.0,9450.0
40839708928.0,9450.0
41879708928.0,9450.0
42920708864.0,9450.0
43961709056.0,9450.0
45001709056.0,9450.0
46045708800.0,9450.0
47089709056.0,9455.696202531646
48128709120.0,9455.696202531646
49170708992.0,9455.696202531646
50211708928.0,9455.696202531646
51255708928.0,9455.696202531646
52296709120.0,9455.696202531646
53335709184.0,9455.696202531646
54375708928.0,9455.696202531646
55415708928.0,9455.696202531646
56455708928.0,9455.696202531646
57497709056.0,5158.536585365857
58537709056.0,5158.536585365857
59577709056.0,5158.536585365857
60618708992.0,5158.536585365857
61659708928.0,5158.536585365857
62700709120.0,5158.536585365857
63740709120.0,5158.536585365857
64780709120.0,5158.536585365857
65834708992.0,5158.536585365857
66874708992.0,4271.58273381295
67914708992.0,4271.58273381295
68955708928.0,4271.58273381295
69995708928.0,4271.58273381295
71038708992.0,4271.58273381295
72078708992.0,4271.58273381295
73119708928.0,4271.58273381295
74159708928.0,4271.58273381295
75200709120.0,4271.58273381295
76240709120.0,4271.58273381295
77283708928.0,4271.58273381295
