Time,Latency
88278528.0,4369.496855345912
1129278464.0,4369.496855345912
2172278272.0,4369.496855345912
3213278464.0,4369.496855345912
4253278464.0,4369.496855345912
5295278592.0,4369.496855345912
6336278272.0,4274.822695035462
7376278272.0,4274.822695035462
8417278464.0,4274.822695035462
9458278400.0,4274.822695035462
10499278592.0,4274.822695035462
11539278336.0,4274.822695035462
12580278272.0,4274.822695035462
13621278464.0,4274.822695035462
14663278592.0,4274.822695035462
15704278528.0,4274.822695035462
16745278208.0,4378.834355828221
17787278336.0,4378.834355828221
18826278400.0,4378.834355828221
19866278400.0,4378.834355828221
20907278592.0,4378.834355828221
21947278336.0,4378.834355828221
22987278336.0,4378.834355828221
24033278464.0,4378.834355828221
25076278272.0,4378.834355828221
26116278272.0,4378.834355828221
27157278464.0,4422.932330827068
28199278336.0,4422.932330827068
29247278336.0,4422.932330827068
30289278464.0,4422.932330827068
31337278208.0,4422.932330827068
32378278400.0,4422.932330827068
33420278528.0,4422.932330827068
34461278464.0,4422.932330827068
35503278336.0,4422.932330827068
36545278464.0,9483.193277310924
37589278464.0,9483.193277310924
38634278400.0,9483.193277310924
39679278336.0,9483.193277310924
40723278336.0,9483.193277310924
41766278400.0,9483.193277310924
42812278528.0,9483.193277310924
43857278464.0,9483.193277310924
44899278336.0,9483.193277310924
45940278528.0,9483.193277310924
46981278464.0,9392.265193370165
48039278336.0,9392.265193370165
49083278336.0,9392.265193370165
50124278528.0,9392.265193370165
51165278464.0,9392.265193370165
52207278336.0,9392.265193370165
53249278464.0,9392.265193370165
54293278464.0,9392.265193370165
55351278592.0,9392.265193370165
56412278272.0,4480.366492146597
57452278272.0,4480.366492146597
58493278464.0,4480.366492146597
59534278400.0,4480.366492146597
60576278272.0,4480.366492146597
61618278400.0,4480.366492146597
62659278336.0,4480.366492146597
63700278528.0,4480.366492146597
64746278400.0,4480.366492146597
65786278400.0,4480.366492146597
66827278336.0,4317.708333333333
67874278400.0,4317.708333333333
68912278272.0,4317.708333333333
69953278464.0,4317.708333333333
70995278336.0,4317.708333333333
72036278528.0,4317.708333333333
73081278464.0,4317.708333333333
74122278400.0,4317.708333333333
75164278528.0,4317.708333333333
76205278208.0,4317.708333333333
77247278336.0,4280.575539568345
78288278528.0,4280.575539568345
